state_id,county,fips_code,policy_level,date,policy_type,start_stop,comments,source,total_phases,geocoded_state
ID,Washington,16087,county,2020/10/27,Phase 3,start,"Policy_Details: No greater than 50 people at indoor venues. Outdoor venues must operate at 25% capacity and follow guidelines. Guidelines include mask wearing, physical distancing, and frequent sanitation. Polling, educational activity, and religious activity are exempt from the gathering limits. Southwest District Health recommends that high risk individuals avoids high exposure events.   Source information: https://coronavirus.idaho.gov/wp-content/uploads/2020/10/stay-healthy-order-stage3_2020oct27.pdf",sip_submission_form: https://coronavirus.idaho.gov/wp-content/uploads/2020/10/stay-healthy-order-stage3_2020oct27.pdf,4,POINT (-114.659366 44.389073)
MS,Madison,28089,county,2020/07/13,Childcare (K-12),start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,,POINT (-89.65344 32.713378)
PW,,,state,2020/08/17,Travel,start,"Policy_Details: Travel Advisory to exercise increased caution. Palau has resumed most transportation options, (including airport operations and re-opening of borders)   Source information: https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/palau-travel-advisory.html",sip_submission_form: https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/palau-travel-advisory.html,,POINT (134.530807 7.5216)
CT,,,state,2020/03/23,Childcare (K-12),start,"Policy_Details: in-person classes canceled for remainder of 2019-2020 academic year Phase Level: Shelter in Place, Phase Details Source information: https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7H.pdf",sip_submission_form: https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7H.pdf,3,POINT (-72.738288 41.575155)
MO,Clay County,29047,county,2020/03/24,Shelter in Place,start,Clay County Policy Start,wikidata,,POINT (-92.477244 38.3675)
OK,,,state,2020/03/24,Shelter in Place,start,State Policy Start,manual,,POINT (-97.508297 35.583449)
MD,,,state,2020/04/05,Nursing Homes,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,,POINT (-76.687282 38.946466)
UT,Duchesne,49013,county,2020/06/19,Phase 4,start,"Policy_Details: Duchesne County moves to Phase 4, or the green phase, on June 19 Phase Level: 4, Phase Details Source information: https://coronavirus.utah.gov/governor-issues-executive-order-moving-sections-of-rural-utah-to-green-health-risk-status/",sip_submission_form: https://coronavirus.utah.gov/governor-issues-executive-order-moving-sections-of-rural-utah-to-green-health-risk-status/,,POINT (-111.678222 39.323779)
CO,,,state,2020/07/01,Residential Overnight Camps,start,Policy_Details: Residential overnight camps prohibited in June.  Decisions for July and August overnight camps will be made in mid June.    Source information: https://covid19.colorado.gov/safer-at-home/childrens-day-camps-youth-sports-camps,sip_submission_form: https://covid19.colorado.gov/safer-at-home/childrens-day-camps-youth-sports-camps,,POINT (-105.547832 38.998552)
MO,Jackson,29095,county,2020/05/11,Entertainment,start,"Policy_Details: Barber/Salons: Open(with limitations), Venues: Closed, Gyms: Open (25/10% capacity), Retail: Open (25/10% capacity), Restaurants & Bars: Open (25/10% capacity)   Source information: https://www.jacksongov.org/DocumentCenter/View/6767/Phase-1-Recovery-Plan-Revised-May-12-2020",sip_submission_form: https://www.jacksongov.org/DocumentCenter/View/6767/Phase-1-Recovery-Plan-Revised-May-12-2020,,POINT (-92.477244 38.3675)
MO,Jackson,29095,county,2020/06/01,Phase 2,start,"Policy_Details: LARGE GATHERINGS NO MORE THAN 50 PEOPLE Open (50% capacity): Food and Drink, Houses of Worship, Gyms and Fitness, Personal Care, Retail, Theaters Closed: All schools, Phase Level: 2, Phase Details Source information: https://www.jacksongov.org/1191/Eastern-Jackson-County-Recovery-Overview",sip_submission_form: https://www.jacksongov.org/1191/Eastern-Jackson-County-Recovery-Overview,,POINT (-92.477244 38.3675)
MS,Sunflower,28133,county,2020/07/13,Childcare (K-12),start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,,POINT (-89.65344 32.713378)
AZ,Pima,04019,county,2020/08/27,Outdoor and Recreation,start,"Policy_Details: Indoor gyms and fitness centers in Apache, Cochise, Coconino, La Paz, Maricopa, Navajo, Pima and Yavapai counties may attest to reopen in compliance with ADHS COVID-19 Guidelines including operating at 25 percent occupancy.   Source information: https://directorsblog.health.azdhs.gov/positive-news-for-az-counties-in-the-moderate-transmission-level-moving-into-next-phase-of-safely-reopening/",sip_submission_form: https://directorsblog.health.azdhs.gov/positive-news-for-az-counties-in-the-moderate-transmission-level-moving-into-next-phase-of-safely-reopening/,3,POINT (-111.664616 34.293239)
MI,Kalkaska,26079,county,2020/07/31,Entertainment,start,"Policy_Details: Region 6 indoor cinemas, convention centers, performance spaces, meeting halls, sports arenas, and theaters open at 25% capacity or 250 people (whichever is smaller); outdoor concert spaces, race tracks, sports arenas, and stadiums open at 25% capacity or 500 people (whichever is smaller)    Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html","sip_submission_form: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html",,POINT (-85.730977 44.874798)
ND,Grand Forks,38035,county,2020/09/03,Outdoor and Recreation,start,"Policy_Details: - Fitness centers, gyms and indoor/outdoor sporting events may consider opening.
- Pre-screen and monitor employees for symptoms.
- Gatherings in facilities can be up to 50% certificate of occupancy for that room but no more than 250 people.
- Masks and social distancing required.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5,POINT (-100.46931 47.446305)
SC,,,state,2020/04/07,Shelter in Place,start,"Stay at home , effective April 7 at 5 p.m.",manual,,POINT (-80.864614 33.878572)
LA,,,state,2020/03/19,Suspended Elective Medical Dental Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,,POINT (-91.840238 30.921314)
WA,,,state,2020/03/16,Nursing Homes,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,,POINT (-120.592492 47.411715)
FL,,,state,2020/04/02,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,,POINT (-82.420978 28.260731)
FL,Palm Beach,12099,county,2020/09/04,Phase 2,start,Policy_Details: Executive Order 20-214 signed 9/4: Palm Beach County is approved to move into Phase 2 of Governor Ron Desantis' Safe. Smart. Step-by-Step. Plan for Florida's Recovery   Source information: https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-214.pdf,sip_submission_form: https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-214.pdf,,POINT (-82.420978 28.260731)
IL,Cook,17031,county,2020/03/21,Entertainment,start,"Policy_Details: all places of public amusement (indoor & outdoor) — carnivals, amusement parks, water parks, aquariums, zoos, museums, arcades, fairs, children’s play centers, playgrounds, funplexes, theme parks, bowling alleys, movie & other theaters, concert & music halls, country/social clubs — closed  Phase Level: 1, Phase Details Source information: https://www.cookcountypublichealth.org/communicable-diseases/covid-19/",sip_submission_form: https://www.cookcountypublichealth.org/communicable-diseases/covid-19/,5,POINT (-89.148632 40.124144)
IL,Stark,17175,county,2021/01/15,Non-Essential Businesses,start,"Policy_Details: - All employees return to work with IDPH approved safety guidance; Employers are encouraged to provide accommodations for COVID-19-vulnerable employees.
- Retail: Open with capacity limits and IDPH approved safety guidance
- All barbershops, salons, spas and health and fitness clubs open with capacity limits and IDPH approved safety guidance   Source information: https://coronavirus.illinois.gov/s/restore-illinois-phase-4",sip_submission_form: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,5,POINT (-89.148632 40.124144)
ND,Renville,38075,county,2020/09/03,Non-Essential Businesses,start,"Policy_Details: Personal Services (i.e. Salon, Tattoo) & Retail
- Operate under heightened hygiene and cleaning standards.
- Monitor employees for symptoms.
- Resume to normal capacity of foodservice operations while continuing to follow new protocols.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5,POINT (-100.46931 47.446305)
UT,Millard,49027,county,2020/11/24,Phase 1,start,Policy_Details: Restrictions for highest level of transmission   Source information: https://coronavirus.utah.gov/utah-health-guidance-levels/,sip_submission_form: https://coronavirus.utah.gov/utah-health-guidance-levels/,3,POINT (-111.678222 39.323779)
NC,,,state,2020/05/08,Day Care,start,"Policy_Details: Executive order signed by governor, statewide. Child care facilities can be open during Phase 1, subject to strict cleaning protocols, to serve families of parents who are working or looking for work. Summer day camps can operate in compliance with state guidelines. Phase Level: 1, Phase Details Source information: https://files.nc.gov/governor/documents/files/EO121-Stay-at-Home-Order-3.pdf",sip_submission_form: https://files.nc.gov/governor/documents/files/EO121-Stay-at-Home-Order-3.pdf,3,POINT (-79.130883 35.52603)
OR,Lane,41039,county,2020/05/15,Outdoor and Recreation,start,"Policy_Details: Gatherings up to 25 people allowed.  Restaurants and bars with limited sit down service allowed.  Personal care with precautions allowed.  Personal care with caution allowed.  Phase Level: 1, Phase Details Source information: https://www.eugene-or.gov/4351/Reopening-Oregon",sip_submission_form: https://www.eugene-or.gov/4351/Reopening-Oregon,,POINT (-120.605279 43.940449)
ID,Fremont,16043,county,2020/10/27,Food and Drink,start,Policy_Details: Restaurants offer seating only services. Maximize sanitation practices and physical distancing for patrons and staff. Nightclubs can only operate as a bar.    Source information: https://coronavirus.idaho.gov/wp-content/uploads/2020/10/stay-healthy-order-stage3_2020oct27.pdf,sip_submission_form: https://coronavirus.idaho.gov/wp-content/uploads/2020/10/stay-healthy-order-stage3_2020oct27.pdf,4,POINT (-114.659366 44.389073)
IN,,,state,2020/06/12,Day Care,start,"Policy_Details: childcare : open 
youth day camps : open provided (i) employee screening procedure, (ii) camper screening procedure, (iii) face coverings for adults & campers over age 2 (recommended), (iv) CDC guidance re: adult-child ratio (recommended), and (v) sport-themed camp adherence to sports directives (i.e. no contact until June 19) 
overnight camps : closed 
facilities : school facilities open for childcare & youth day camps    Source information: https://www.in.gov/gov/files/Executive%20Order%2020-32%20(Stage%204).pdf",sip_submission_form: https://www.in.gov/gov/files/Executive%20Order%2020-32%20(Stage%204).pdf,,POINT (-86.2818 39.919991)
UT,Weber,49057,county,2020/11/24,Food and Drink,start,"Policy_Details: - Masks required
- 6’ between parties at all times (including waiting areas and when seated)
- No alcohol sales later than 10 p.m.
   Source information: https://coronavirus.utah.gov/utah-health-guidance-levels/",sip_submission_form: https://coronavirus.utah.gov/utah-health-guidance-levels/,3,POINT (-111.678222 39.323779)
TX,Crosby,48107,county,2020/07/03,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and","sip_submission_form: https://tdem.texas.gov/ga29/, and",,POINT (-99.317341 31.447238)
NE,Phelps,31137,county,2020/03/31,Shelter in Place,start,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,,POINT (-99.810595 41.527099)
KS,Wyandotte County,20209,county,2020/03/24,Shelter in Place,start,Wyandotte County Policy Start,wikidata,,POINT (-98.38018 38.484729)
NE,Chase,31029,county,2020/04/03,Shelter in Place,start,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,,POINT (-99.810595 41.527099)
NC,Forsyth County,37067,county,2020/03/27,Shelter in Place,start,Forsyth County Policy Start,wikidata,,POINT (-79.130883 35.52603)
MN,,,state,0020/05/12,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,,POINT (-94.198308 46.349153)
IN,,,state,2020/03/06,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,,POINT (-86.2818 39.919991)
AR,,,state,2020/04/02,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,,POINT (-92.439162 34.899825)
LA,,,state,2020/03/22,Shelter in Place,start,"Policy_Details: The stay at home order was originally extended until May 15th, but was not renewed by the Governor. The stay at home order has officially expired. People are allowed to: Go to the grocery, convenience or warehouse store Go to the pharmacy to pick up medications and other healthcare necessities Go to medical appointments (check with your doctor or provider first) Go to a restaurant for take-out, delivery or drive-thru Care for or support a friend or family member Take a walk, ride your bike, hike, jog and be in nature for exercise — just keep at least six feet between you and others. Walk your pets and take them to the veterinarian if necessary Help someone to get necessary supplies Receive deliveries from any business which delivers   Source information: https://gov.louisiana.gov/home/",sip_submission_form: https://gov.louisiana.gov/home/,,POINT (-91.840238 30.921314)
MA,,,state,2020/08/01,Travel,start,Policy_Details: all persons arriving in MA by any means must quarantine or 14 days unless arriving from a lower-risk State or received a negative test result no longer than 72 hours before arrival    Source information: https://www.mass.gov/doc/july-24-2020-travel-order-pdf/download,sip_submission_form: https://www.mass.gov/doc/july-24-2020-travel-order-pdf/download,4,POINT (-71.481104 42.151077)
MS,Jones,28067,county,2020/12/11,Mask Requirement,start,Policy_Details: Masks must be worn indoors in public places when a distance of six feet cannot be maintained between groups from different households.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1536.pdf,sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1536.pdf,,POINT (-89.65344 32.713378)
CO,,,state,2020/03/20,Phase 2,start,"Policy_Details: Governor Polis issued Executive Order D 2020 093 to amend Executive Orders D 2020 011, D 2020 029, D 2020 052, D 2020 084 due to COVID-19 -Suspend C.R.S. 44-3-103(38) defining premise as distinct and definite location and C.R.S. 44-3-301(3)(a) requiring separate geographical location for each licensed premises, for limited purpose of allowing two or more on-premise liquor licenses operating in accordance with Safer at Home, as amended, to obtain temporary approval from state & local licensing authorities to modify licensed premises to have communal outdoor dining area that is within 1,000 ft of their licensed premises -Liquor Enforcement Division takes action within 24 hours of submission for application of temporary modification of license -Temporarily suspend enforcement of statutory limitation prohibiting public consumption of alcohol beverages on any public right of way that has been authorized to allow such consumption by ordinance, resolution, or rule adopted by municipality, city and county, or county Phase Level: 2, Phase Details Source information: https://www.colorado.gov/governor/sites/default/files/inline-files/D%202020%20093LiquorLicensingStatutes.pdf",sip_submission_form: https://www.colorado.gov/governor/sites/default/files/inline-files/D%202020%20093LiquorLicensingStatutes.pdf,,POINT (-105.547832 38.998552)
UT,Uintah,49047,county,2020/11/24,Non-Essential Businesses,start,"Policy_Details: - Social gatherings of 10 or fewer are permitted.
- Masks required
- Require 6’ of distancing between household groups
- Post signage listing COVID-19 symptoms, asking employees and customers with symptoms to stay home, and encouraging physical distancing
- Clean and disinfect restrooms
   Source information: https://coronavirus.utah.gov/utah-health-guidance-levels/",sip_submission_form: https://coronavirus.utah.gov/utah-health-guidance-levels/,3,POINT (-111.678222 39.323779)
OH,,,state,2020/05/01,Non-Essential Businesses,start,"Policy_Details: hair salons, day spas, nail salons, barber shops, tattoo parlors, body piercing, tanning, massage closed ; retail open for curbside pickup, delivery, or appointment only Phase Level: Shelter in Place, Phase Details Source information: https://coronavirus.ohio.gov/static/publicorders/Directors-Stay-Safe-Ohio-Order.pdf",sip_submission_form: https://coronavirus.ohio.gov/static/publicorders/Directors-Stay-Safe-Ohio-Order.pdf,,POINT (-82.70936 40.415534)
IL,Mason,17125,county,2021/01/15,Non-Essential Businesses,start,"Policy_Details: - All employees return to work with IDPH approved safety guidance; Employers are encouraged to provide accommodations for COVID-19-vulnerable employees.
- Retail: Open with capacity limits and IDPH approved safety guidance
- All barbershops, salons, spas and health and fitness clubs open with capacity limits and IDPH approved safety guidance   Source information: https://coronavirus.illinois.gov/s/restore-illinois-phase-4",sip_submission_form: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,5,POINT (-89.148632 40.124144)
AZ,Coconino,04005,county,2020/08/27,Non-Essential Businesses,start,"Policy_Details: Water parks and tubing operators in Apache, Cochise, Coconino, La Paz, Maricopa, Navajo, Pima and Yavapai counties may attest to reopen in compliance with ADHS COVID-19 Guidelines including operating at 50 percent occupancy.   Source information: https://www.azcommerce.com/covid-19/business-guidance/reopening-guidance-water-parks-tubing/",sip_submission_form: https://www.azcommerce.com/covid-19/business-guidance/reopening-guidance-water-parks-tubing/,2,POINT (-111.664616 34.293239)
GA,,,state,2020/04/23,Manufacturing,start,"Policy_Details: Governor Brian Kemp Executive Order: Stay at home order was extended, but only for elderly and medically compromised.
All other businesses may continue minimum basic operations provided they follow safety requirements. Phase Level: 1, Phase Details Source information: https://www.georgia.org/covid19bizguide, https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders (click on order from 4/23 to download pdf)","sip_submission_form: https://www.georgia.org/covid19bizguide, https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders (click on order from 4/23 to download pdf)",3,POINT (-83.426574 32.638481)
MS,Claiborne,28021,county,2020/07/13,Food and Drink,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.
Retail Businesses should also in addition provide employees with face coverings (when they have contact with public, and these to be cleaned/replaced daily), customers must wear face coverings, hand sanitizer must be provided, 6 ft separation must be kept whenever possible, and sanitation of carts/baskets and high touch areas   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,,POINT (-89.65344 32.713378)
OR,,,state,0020/05/03,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,,POINT (-120.605279 43.940449)
IL,Alexander,17003,county,2021/01/15,Food and Drink,start,Policy_Details: Bars and restaurants: Open with capacity limits and IDPH approved safety guidance   Source information: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,sip_submission_form: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,5,POINT (-89.148632 40.124144)
NY,Richmond,36085,county,2020/06/08,Manufacturing,start,"Policy_Details: Construction
Agriculture, Forestry, Fishing and Hunting
Retail - (Limited to curbside or in-store pickup or drop off)
Manufacturing
Wholesale Trade Phase Level: 1, Phase Details Source information: https://forward.ny.gov/phase-one-industries",sip_submission_form: https://forward.ny.gov/phase-one-industries,,POINT (-75.59655 42.921241)
ND,Divide,38023,county,2020/09/03,Phase 5,start,"Policy_Details: - Most normal activity can resume, with standard precautions and awareness of health
guidelines such as routine hand washing, stay home when sick, cover your cough, education, stockpiling, planning, routine health alerts, etc. 
- Monitoring for illness and outbreaks will continue. 
- Those found to be ill will be asked to self-isolate and contacts will be asked to remain at home.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5,POINT (-100.46931 47.446305)
UT,,,state,2020/07/10,Health Risk Status,start,"Policy_Details: Governor Herbert extended Utah's Health Risk Status, keeping Salt Lake City in Moderate Risk (Orange), ten counties in Normal Risk (Green), and rest of state in Low Risk (Yellow) Phase Level: 2, 3, 4, Phase Details Source information: https://coronavirus.utah.gov/governor-extends-executive-orders-for-utahs-health-risk-status-and-for-the-mandate-of-masks-in-state-facilities/",sip_submission_form: https://coronavirus.utah.gov/governor-extends-executive-orders-for-utahs-health-risk-status-and-for-the-mandate-of-masks-in-state-facilities/,,POINT (-111.678222 39.323779)
MI,Roscommon,26143,county,2020/07/31,Entertainment,start,"Policy_Details: Region 6 indoor cinemas, convention centers, performance spaces, meeting halls, sports arenas, and theaters open at 25% capacity or 250 people (whichever is smaller); outdoor concert spaces, race tracks, sports arenas, and stadiums open at 25% capacity or 500 people (whichever is smaller)    Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html","sip_submission_form: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html",,POINT (-85.730977 44.874798)
IL,Iroquois,17075,county,2021/01/15,Manufacturing,start,Policy_Details: All manufacturing open with IDPH approved safety guidance   Source information: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,sip_submission_form: https://coronavirus.illinois.gov/s/restore-illinois-phase-4,5,POINT (-89.148632 40.124144)
OH,Pickaway,39129,county,2020/07/10,Mask Requirement,start,"Policy_Details: face coverings required in any indoor location that is not a residence; when outdoors and unable to consistently maintain a distance of 6 ft. from individuals who are not members of the same household; or while waiting for, riding, driving, or operating public transportation, taxi, private car service, or ride-sharing vehicle    Source information: https://coronavirus.ohio.gov/static/publicorders/Addendum-Facial-Coverings.pdf",sip_submission_form: https://coronavirus.ohio.gov/static/publicorders/Addendum-Facial-Coverings.pdf,,POINT (-82.70936 40.415534)
UT,Emery,49015,county,2020/11/24,Entertainment,start,"Policy_Details: - Social gatherings of 10 or fewer are permitted.
- Masks required
- Require 6’ of distancing between household groups
- Post signage listing COVID-19 symptoms, asking employees and customers with symptoms to stay home, and encouraging physical distancing
- Clean and disinfect restrooms
   Source information: https://coronavirus.utah.gov/utah-health-guidance-levels/",sip_submission_form: https://coronavirus.utah.gov/utah-health-guidance-levels/,3,POINT (-111.678222 39.323779)
ID,Lewis,16061,county,2020/11/14,Mask Requirement,start,Policy_Details: Recommended individuals wear face coverings in public.   Source information: https://coronavirus.idaho.gov/wp-content/uploads/2020/11/stage-2-modified-order.pdf,sip_submission_form: https://coronavirus.idaho.gov/wp-content/uploads/2020/11/stage-2-modified-order.pdf,4,POINT (-114.659366 44.389073)
AK,Juneau,02110,county,2020/03/22,Outdoor and Recreation,start,Policy_Details: Any person traveling into the City and Borough of Juneau by vessel or airplane that came from outside of Alaska or that came from a community with known cases of COVID-19 is required to self-quarantine for 14 days   Source information: https://juneau.org/covid-19-mandates-cbj,sip_submission_form: https://juneau.org/covid-19-mandates-cbj,,POINT (-151.631889 63.631126)
ME,Lincoln,23015,county,2020/05/18,Outdoor and Recreation,start,"Policy_Details: Rural Reopening :  wilderness campsites & sporting camps open  Phase Level: 1, Phase Details Source information: https://www.maine.gov/covid19/restartingmaine",sip_submission_form: https://www.maine.gov/covid19/restartingmaine,3,POINT (-69.06137 45.117911)
NJ,,,state,2020/06/15,New Phase,start,"Policy_Details: Outdoor dining (beginning on June 15) Limited in-person retail (beginning on June 15) Hair salons and barber shops (beginning on June 22) Youth summer programs (beginning on July 6) In-person clinical research/labs Limited fitness/gyms Limited in-person government services (e.g. – Motor Vehicle Commission) Museums/libraries Phase Level: 2, Phase Details Source information: https://covid19.nj.gov/faqs/nj-information/general-public/how-does-new-jersey-plan-to-lift-restrictions-what-does-a-responsible-and-strategic-restart-of-new-jerseys-economy-look-like",sip_submission_form: https://covid19.nj.gov/faqs/nj-information/general-public/how-does-new-jersey-plan-to-lift-restrictions-what-does-a-responsible-and-strategic-restart-of-new-jerseys-economy-look-like,,POINT (-74.655514 40.110253)
TX,Hockley County,48219,county,2020/03/31,Shelter in Place,start,Hockley County Policy Start,wikidata,,POINT (-99.317341 31.447238)
NC,,,state,2020/03/23,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,,POINT (-79.130883 35.52603)
HI,,,state,2020/03/30,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,,POINT (-157.854309 21.361013)
OH,,,state,0020/05/03,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,,POINT (-82.70936 40.415534)
DC,,,state,2020/04/15,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,,POINT (-77.016275 38.904785)
KY,,,state,2020/03/18,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,,POINT (-85.290484 37.526683)
MA,,,state,2020/03/11,Reopened ACA Enrollment Using a Special Enrollment Period,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,,POINT (-71.481104 42.151077)
WI,Dane,55025,county,2020/05/26,Childcare (K-12),start,"Policy_Details: no in-person K-12 instruction (minimum basic operations & activities approved) ; in childcare settings, no interactions between groups/classrooms (groups no larger than 15) ; higher education institutions open to facilitate distance learning, research, &essential functions   Phase Level: 1, Phase Details Source information: https://publichealthmdc.com/documents/Forward_Dane.pdf",sip_submission_form: https://publichealthmdc.com/documents/Forward_Dane.pdf,3,POINT (-89.732969 44.639954)
MS,Tate,28137,county,2020/12/11,Mask Requirement,start,Policy_Details: Masks must be worn indoors in public places when a distance of six feet cannot be maintained between groups from different households.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1536.pdf,sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1536.pdf,,POINT (-89.65344 32.713378)
ID,Valley,16085,county,2020/10/27,Food and Drink,start,Policy_Details: Restaurants offer seating only services. Nightclubs can only operate as a bar.    Source information: https://twinfallscounty.org/wp-content/uploads/stay-healthy-order-stage3_2020oct27-1.pdf,sip_submission_form: https://twinfallscounty.org/wp-content/uploads/stay-healthy-order-stage3_2020oct27-1.pdf,4,POINT (-114.659366 44.389073)
NY,Allegany,36003,county,2020/06/16,Non-Essential Businesses,start,Policy_Details: personal care may reopen   Source information: https://forward.ny.gov/phase-three-industries,sip_submission_form: https://forward.ny.gov/phase-three-industries,,POINT (-75.59655 42.921241)
